"","Methods","RHO","Median","Q1","Q3","Mean","SD","Prop.SIFI","PropC"
"1","H1 2a  - Best Clone",100,150,116,190,155.0103,54.8671,0.2333,0.3078
"2","Best Flip",100,58,46,70,58.9308,17.9807,0.0893,0.117
"3","Best Delete",100,98,80,117,98.9819,27.7343,0.15,0.1965
"4","Worst Clone",100,46,38,55,46.7197,13.0207,0.0708,0.0928
"5","Worst Flip",100,24,20,28,24.1215,6.3411,0.0365,0.0479
"6","Worst Delete",100,50,42,59,50.2269,12.8334,0.0761,0.0997
"7","H1 2b  - Best Clone",86.7,56,29,94,67.4138,51.2043,0.5098,0.3078
"8","Best Flip",86.7,24,13,39,27.6808,18.8745,0.2097,0.117
"9","Best Delete",86.7,44,24,68,48.6395,31.797,0.3685,0.1965
"10","Worst Clone",86.7,10,6,14,10.4731,6.1647,0.0793,0.0928
"11","Worst Flip",86.7,6,3,8,5.9699,3.3313,0.0452,0.0479
"12","Worst Delete",86.7,12,7,18,12.8281,7.4672,0.0972,0.0997
